광역지방자치,기초지방자치,중상자수,경상자수,부상신고자수
서울,종로구,224,1006,121
서울,중구,246,866,100
서울,용산구,250,1037,43
서울,성동구,226,941,55
서울,동대문구,367,1308,168
서울,성북구,298,1231,97
서울,도봉구,172,471,62
서울,은평구,273,895,88
서울,서대문구,211,911,181
서울,마포구,246,1121,116
서울,강서구,359,1558,191
서울,구로구,260,1295,136
서울,영등포구,424,2068,215
서울,동작구,260,1239,152
서울,관악구,285,1199,51
서울,강남구,685,4035,332
서울,강동구,302,1169,82
서울,송파구,623,2703,268
서울,서초구,441,2775,175
서울,양천구,263,1167,99
서울,중랑구,383,1340,167
서울,노원구,311,1462,140
서울,광진구,192,739,35
서울,강북구,235,938,93
서울,금천구,204,873,75
부산,중구,100,351,28
부산,서구,136,461,45
부산,동구,175,579,48
부산,영도구,122,279,11
부산,부산진구,460,1505,151
부산,동래구,234,767,52
부산,남구,217,636,43
부산,북구,131,442,32
부산,해운대구,267,794,87
부산,사하구,331,809,73
부산,금정구,222,799,84
부산,강서구,288,765,47
부산,연제구,174,620,56
부산,수영구,213,672,68
부산,사상구,215,482,30
부산,기장군,135,552,41
경기,수원시,1037,5055,477
경기,성남시,850,3760,453
경기,의정부시,299,1712,293
경기,안양시,328,1210,78
경기,부천시,652,3797,246
경기,안산시,855,4181,352
경기,평택시,795,3832,619
경기,광명시,207,998,95
경기,구리시,182,879,41
경기,양주시,249,1265,81
경기,여주시,172,719,49
경기,화성시,769,3700,299
경기,시흥시,570,2672,251
경기,파주시,447,1725,200
경기,고양시,859,3857,363
경기,광주시,406,2606,239
경기,연천군,56,217,10
경기,포천시,220,1061,55
경기,가평군,103,538,34
경기,양평군,175,528,48
경기,이천시,213,1268,126
경기,용인시,683,4296,498
경기,안성시,264,1078,157
경기,김포시,464,2346,116
경기,동두천시,54,307,15
경기,과천시,40,295,19
경기,군포시,175,594,98
경기,남양주시,558,2228,141
경기,오산시,199,1025,194
경기,의왕시,79,371,21
경기,하남시,241,1243,145
강원,춘천시,285,1508,377
강원,원주시,411,1940,76
강원,동해시,93,376,7
강원,강릉시,194,840,12
강원,속초시,189,464,11
강원,태백시,35,312,14
강원,삼척시,80,209,0
강원,홍천군,83,360,53
강원,횡성군,52,191,10
강원,영월군,91,116,40
강원,평창군,79,258,17
강원,정선군,58,181,7
강원,철원군,44,131,3
강원,화천군,34,112,15
강원,양구군,17,84,6
강원,인제군,42,90,19
강원,고성군,70,175,0
강원,양양군,53,226,10
충북,청주시,1085,4595,166
충북,충주시,324,1214,23
충북,제천시,226,874,58
충북,보은군,47,169,1
충북,옥천군,57,102,1
충북,영동군,88,94,5
충북,진천군,131,529,6
충북,괴산군,84,192,21
충북,음성군,219,579,22
충북,단양군,53,170,12
충북,증평군,41,146,20
충남,천안시,627,3321,209
충남,아산시,356,1474,41
충남,보령시,165,306,15
충남,공주시,170,531,29
충남,서산시,227,627,58
충남,금산군,73,108,2
충남,태안군,121,282,33
충남,논산시,167,342,15
충남,부여군,133,156,1
충남,서천군,95,300,2
충남,청양군,103,168,5
충남,홍성군,109,205,4
충남,예산군,109,422,19
충남,당진시,145,597,20
충남,계룡시,18,53,1
전북,전주시,457,2234,29
전북,군산시,243,1293,118
전북,정읍시,167,435,4
전북,남원시,129,252,5
전북,김제시,102,269,3
전북,완주군,73,234,4
전북,진안군,29,64,2
전북,무주군,46,97,0
전북,장수군,17,34,1
전북,임실군,39,75,2
전북,순창군,33,83,29
전북,고창군,37,77,0
전북,부안군,68,119,3
전북,익산시,252,917,16
전남,목포시,238,1867,75
전남,여수시,332,1540,52
전남,순천시,289,1413,39
전남,나주시,143,468,27
전남,광양시,138,623,41
전남,담양군,96,391,11
전남,곡성군,45,106,10
전남,구례군,40,123,5
전남,고흥군,141,213,26
전남,보성군,56,163,6
전남,화순군,85,308,15
전남,장흥군,76,297,27
전남,강진군,94,266,41
전남,해남군,122,289,12
전남,영암군,127,505,36
전남,무안군,70,321,6
전남,함평군,36,159,49
전남,영광군,63,83,11
전남,장성군,75,229,8
전남,완도군,42,184,2
전남,진도군,36,48,1
전남,신안군,46,122,3
경북,포항시,628,2493,179
경북,경주시,503,1218,89
경북,김천시,183,391,29
경북,안동시,291,738,57
경북,구미시,516,1686,136
경북,영주시,166,344,28
경북,영천시,138,457,18
경북,문경시,100,310,32
경북,상주시,178,446,30
경북,군위군,50,113,2
경북,의성군,132,165,8
경북,청송군,43,59,30
경북,영양군,18,43,5
경북,영덕군,117,214,19
경북,청도군,67,203,12
경북,고령군,59,158,5
경북,성주군,112,271,27
경북,칠곡군,190,788,95
경북,예천군,79,116,2
경북,봉화군,40,94,0
경북,울진군,105,131,8
경북,울릉군,10,13,0
경북,경산시,274,912,16
경남,진주시,264,401,19
경남,통영시,192,690,33
경남,김해시,732,1776,152
경남,밀양시,242,422,34
경남,거제시,268,613,52
경남,의령군,44,77,9
경남,함안군,123,247,8
경남,창녕군,139,169,20
경남,양산시,355,1083,170
경남,고성군,113,148,4
경남,사천시,215,652,54
경남,남해군,77,117,82
경남,하동군,77,105,6
경남,산청군,70,151,16
경남,함양군,112,132,36
경남,거창군,120,169,16
경남,합천군,121,96,12
경남,창원시(통합),828,2499,183
제주,제주시,667,2964,491
제주,서귀포시,400,1239,260
대구,중구,180,676,169
대구,동구,343,1653,200
대구,서구,217,1002,94
대구,남구,134,705,59
대구,북구,505,1918,238
대구,수성구,457,2178,256
대구,달서구,619,2775,141
대구,달성군,248,915,39
인천,중구,111,535,21
인천,동구,33,123,2
인천,미추홀구,240,1331,99
인천,부평구,237,1243,81
인천,남동구,316,1812,103
인천,서구,315,1853,38
인천,연수구,158,694,18
인천,계양구,105,738,13
인천,강화군,68,199,6
인천,옹진군,9,31,1
광주,동구,100,688,43
광주,서구,245,2251,118
광주,북구,290,2759,152
광주,광산구,334,2701,129
광주,남구,119,772,21
대전,동구,216,1134,19
대전,중구,221,1217,31
대전,서구,470,2717,52
대전,유성구,336,2031,105
대전,대덕구,190,1056,55
울산,중구,181,649,50
울산,남구,336,997,90
울산,동구,181,410,31
울산,북구,244,910,93
울산,울주군,239,647,119
세종,세종시,234,744,352
