시도,시군구,사고건수,사망자수
서울,종로구,974,3
서울,중구,943,2
서울,용산구,1014,11
서울,성동구,948,8
서울,동대문구,1534,12
서울,성북구,1288,8
서울,도봉구,522,2
서울,은평구,918,9
서울,서대문구,974,5
서울,마포구,1065,10
서울,강서구,1606,15
서울,구로구,1274,12
서울,영등포구,1998,20
서울,동작구,1217,7
서울,관악구,1172,9
서울,강남구,3709,16
서울,강동구,1151,7
서울,송파구,2581,9
서울,서초구,2264,8
서울,양천구,1165,8
서울,중랑구,1401,10
서울,노원구,1384,6
서울,광진구,708,9
서울,강북구,1044,6
서울,금천구,844,9
부산,중구,357,3
부산,서구,445,4
부산,동구,539,4
부산,영도구,298,2
부산,부산진구,1535,10
부산,동래구,819,7
부산,남구,711,10
부산,북구,447,4
부산,해운대구,817,6
부산,사하구,916,7
부산,금정구,816,11
부산,강서구,765,18
부산,연제구,646,4
부산,수영구,717,3
부산,사상구,579,10
부산,기장군,475,10
경기,수원시,4705,25
경기,성남시,3599,27
경기,의정부시,1683,13
경기,안양시,1134,15
경기,부천시,3457,18
경기,안산시,3685,22
경기,평택시,3508,56
경기,광명시,950,10
경기,구리시,716,2
경기,양주시,1123,14
경기,여주시,558,15
경기,화성시,3230,43
경기,시흥시,2372,22
경기,파주시,1673,27
경기,고양시,3588,37
경기,광주시,2178,12
경기,연천군,178,8
경기,포천시,826,16
경기,가평군,400,3
경기,양평군,490,15
경기,이천시,1050,20
경기,용인시,3562,32
경기,안성시,896,17
경기,김포시,1933,11
경기,동두천시,273,5
경기,과천시,208,4
경기,군포시,593,9
경기,남양주시,1970,24
경기,오산시,997,10
경기,의왕시,300,10
경기,하남시,1133,5
강원,춘천시,1382,17
강원,원주시,1578,18
강원,동해시,310,6
강원,강릉시,712,14
강원,속초시,413,5
강원,태백시,228,3
강원,삼척시,209,8
강원,홍천군,268,9
강원,횡성군,152,10
강원,영월군,149,8
강원,평창군,196,13
강원,정선군,158,3
강원,철원군,113,1
강원,화천군,87,4
강원,양구군,79,5
강원,인제군,89,5
강원,고성군,146,2
강원,양양군,156,8
충북,청주시,4039,52
충북,충주시,1053,28
충북,제천시,701,16
충북,보은군,134,4
충북,옥천군,120,5
충북,영동군,133,8
충북,진천군,440,7
충북,괴산군,188,9
충북,음성군,537,12
충북,단양군,147,5
충북,증평군,152,3
충남,천안시,2937,47
충남,아산시,1267,21
충남,보령시,331,20
충남,공주시,445,13
충남,서산시,615,13
충남,금산군,137,6
충남,태안군,267,8
충남,논산시,347,18
충남,부여군,198,9
충남,서천군,274,9
충남,청양군,185,6
충남,홍성군,242,20
충남,예산군,343,18
충남,당진시,529,20
충남,계룡시,47,2
전북,전주시,1918,26
전북,군산시,1167,25
전북,정읍시,409,18
전북,남원시,278,14
전북,김제시,253,8
전북,완주군,218,20
전북,진안군,62,7
전북,무주군,92,8
전북,장수군,40,4
전북,임실군,79,4
전북,순창군,103,12
전북,고창군,96,13
전북,부안군,140,10
전북,익산시,826,25
전남,목포시,1373,17
전남,여수시,1384,13
전남,순천시,1154,23
전남,나주시,403,9
전남,광양시,584,17
전남,담양군,302,9
전남,곡성군,102,6
전남,구례군,113,2
전남,고흥군,255,9
전남,보성군,154,5
전남,화순군,263,3
전남,장흥군,241,3
전남,강진군,244,5
전남,해남군,300,12
전남,영암군,391,14
전남,무안군,280,11
전남,함평군,152,7
전남,영광군,123,6
전남,장성군,192,6
전남,완도군,153,9
전남,진도군,75,7
전남,신안군,97,8
경북,포항시,2203,27
경북,경주시,1206,35
경북,김천시,428,17
경북,안동시,727,26
경북,구미시,1652,29
경북,영주시,414,17
경북,영천시,413,20
경북,문경시,279,6
경북,상주시,445,23
경북,군위군,93,4
경북,의성군,223,9
경북,청송군,93,2
경북,영양군,47,3
경북,영덕군,220,10
경북,청도군,199,6
경북,고령군,154,11
경북,성주군,278,13
경북,칠곡군,676,7
경북,예천군,155,8
경북,봉화군,99,6
경북,울진군,144,10
경북,울릉군,15,0
경북,경산시,874,20
경남,진주시,568,25
경남,통영시,630,7
경남,김해시,1924,23
경남,밀양시,485,9
경남,거제시,698,14
경남,의령군,112,6
경남,함안군,266,9
경남,창녕군,227,9
경남,양산시,1232,18
경남,고성군,208,13
경남,사천시,592,8
경남,남해군,167,10
경남,하동군,127,9
경남,산청군,151,8
경남,함양군,196,11
경남,거창군,228,10
경남,합천군,151,8
경남,창원시(통합),2649,61
제주,제주시,2790,39
제주,서귀포시,1249,14
대구,중구,720,3
대구,동구,1522,8
대구,서구,942,6
대구,남구,643,3
대구,북구,1875,15
대구,수성구,2005,8
대구,달서구,2558,15
대구,달성군,837,10
인천,중구,462,11
인천,동구,113,0
인천,미추홀구,1250,15
인천,부평구,1239,13
인천,남동구,1563,15
인천,서구,1587,16
인천,연수구,644,5
인천,계양구,613,7
인천,강화군,198,10
인천,옹진군,26,3
광주,동구,571,6
광주,서구,1700,11
광주,북구,2113,18
광주,광산구,2077,20
광주,남구,661,3
대전,동구,947,14
대전,중구,1024,5
대전,서구,2302,9
대전,유성구,1645,13
대전,대덕구,923,10
울산,중구,603,4
울산,남구,1094,5
울산,동구,501,2
울산,북구,802,10
울산,울주군,660,11
세종,세종시,932,17
